Category,Amount,Question,Answer
History,100,Who was the first president of the United States?,George Washington
History,200,What year did the American Civil War start?,1861
History,300,Who wrote the Declaration of Independence?,Thomas Jefferson
History,400,What empire was led by Julius Caesar?,Roman Empire
History,500,Which war ended with the Treaty of Versailles?,World War I
Science,100,What is the chemical symbol for water?,H2O
Science,200,What planet is known as the Red Planet?,Mars
Science,300,What gas do plants absorb from the atmosphere?,Carbon Dioxide
Science,400,What is the speed of light?,299,792,458 meters per second
Science,500,Who developed the theory of relativity?,Albert Einstein
Sports,100,How many players are on a soccer team on the field?,11
Sports,200,In which sport do you use a shuttlecock?,Badminton
Sports,300,What country hosted the 2016 Summer Olympics?,Brazil
Sports,400,What is the highest score possible in a single frame of bowling?,30
Sports,500,Who has won the most NBA championships as a player?,Bill Russell
Movies,100,Who directed "Jaws"?,Steven Spielberg
Movies,200,What is the highest-grossing movie of all time?,Avatar
Movies,300,Which movie features a character named "Forrest Gump"?,Forrest Gump
Movies,400,What movie is famous for the quote "I'll be back"?,The Terminator
Movies,500,Who won the first Oscar for Best Actress?,Janet Gaynor
Music,100,Who is known as the "King of Pop"?,Michael Jackson
Music,200,What instrument has 88 keys?,Piano
Music,300,Which band released "Bohemian Rhapsody"?,Queen
Music,400,What is Beethoven's first name?,Ludwig
Music,500,Which singer is known for the album "1989"?,Taylor Swift
Literature,100,Who wrote "1984"?,George Orwell
Literature,200,Who is the author of the "Harry Potter" series?,J.K. Rowling
Literature,300,What is the name of Sherlock Holmes' assistant?,Dr. Watson
Literature,400,Which novel begins with "Call me Ishmael"?,Moby Dick
Literature,500,Who wrote "Pride and Prejudice"?,Jane Austen
